station_code,longitude,value
51730,81.2667,91
51730,81.27,275
51747,83.6667,91
51747,83.67,275
51765,87.7,366
51777,88.18,275
51777,88.1833,91
51802,76.1667,91
51802,76.17,275
51804,75.23,275
51804,75.2333,91
51810,77.63,275
51810,77.6333,91
51811,77.2667,91
51811,77.27,275
51814,77.4,366
51815,77.2667,91
51815,77.27,275
51818,78.28,275
51818,78.2833,91
51826,80.8,366
51827,79.63,275
51827,79.6333,91
51828,79.93,275
51828,79.9333,91
51829,80.23,275
51829,80.2333,91
51839,82.5667,91
51839,82.57,274
51839,82.72,1
51855,85.55,366
51886,90.85,366
51931,81.65,366
52101,93.05,366
52112,94.98,275
52112,94.9833,91
52118,94.7,366
52203,93.5167,91
52203,93.52,275
52267,101.06,275
52267,101.0667,91
52313,94.6667,91
52313,94.67,275
52323,97.03,275
52323,97.0333,91
52378,102.3667,91
52378,102.37,275
52418,94.68,275
52418,94.6833,91
52424,95.78,275
52424,95.7833,91
52436,97.03,275
52436,97.0333,91
52446,99.5167,91
52446,99.52,275
52447,98.8833,91
52447,98.89,275
52495,104.8,366
52515,94.8667,91
52515,94.87,275
52533,98.48,275
52533,98.4833,91
52546,99.83,275
52546,99.8333,91
52557,100.16,275
52557,100.1667,91
52575,102.78,275
52575,102.7833,91
52576,101.68,275
52576,101.6833,91
52602,93.33,275
52602,93.3333,91
52607,106.65,366
52633,98.4167,91
52633,98.42,275
52643,99.6167,91
52643,99.62,275
52645,99.6,366
52652,100.28,275
52652,100.2833,91
52656,100.8167,91
52656,100.82,275
52657,100.25,366
52661,101.08,275
52661,101.0833,91
52674,101.93,275
52674,101.9333,91
52679,102.8667,91
52679,102.87,275
52681,103.0833,91
52681,103.09,275
52707,93.68,275
52707,93.6833,91
52713,95.35,366
52737,97.38,275
52737,97.3833,91
52745,99.0167,91
52745,99.02,275
52754,100.13,275
52754,100.1333,91
52765,101.61,275
52765,101.6167,91
52784,102.9,366
52787,102.8667,91
52787,102.87,275
52797,104.05,366
52818,94.9,91
52818,94.91,275
52825,96.43,275
52825,96.4333,91
52833,98.4833,91
52833,98.49,275
52836,98.1,366
52842,99.08,275
52842,99.0833,91
52853,100.98,275
52853,100.9833,91
52854,100.4833,91
52854,100.49,275
52855,101.25,366
52856,100.6167,91
52856,100.62,275
52862,101.66,275
52862,101.6667,91
52863,101.95,366
52866,101.73,275
52866,101.7333,91
52868,101.3667,91
52868,101.37,275
52869,101.58,275
52869,101.5833,91
52874,102.41,275
52874,102.4167,91
52875,102.1,366
52876,102.8333,91
52876,102.84,275
52877,102.25,91
52877,102.26,275
52881,103.1833,91
52881,103.19,275
52884,103.94,37
52884,103.95,329
52885,103.25,91
52885,103.26,275
52889,103.88,275
