文件名,相关系数 (CC),偏差 (BIAS),均方根误差 (RMSE)
202001.npy,0.9444508531573812,41.781579281258104,55.005781030689036
202002.npy,0.9322289970444045,40.74599850687207,54.231957799407084
202003.npy,0.9443743600552633,60.805603027704606,79.61869606509661
202004.npy,0.8595008557610644,41.568992168067865,52.16200907386248
202005.npy,0.8298672765997902,69.72178579585844,86.50233339563235
202006.npy,0.8275358757209406,123.47765620957072,146.5260313169696
202007.npy,0.8655957862747269,81.9218454888064,117.66074081284198
202008.npy,0.8691714560287466,56.86489281504922,102.24031734127865
202009.npy,0.8371583643931662,56.734624609444566,75.99811249964475
202010.npy,0.8501448500802012,31.114929851711306,39.89034252000483
202011.npy,0.883144586773442,14.85368860740947,22.619770692407613
202012.npy,0.6257631764184887,11.116231342177954,16.747403575008764
